time,length,src,dst,src_port,dst_port,protocol,ttl
1745488977.481469,78,104.18.43.204,192.168.0.104,443,53152,TCP,56
1745488977.482855,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.482857,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.482859,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.482863,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.482865,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.482867,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.482869,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.482871,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.482873,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.482875,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.482877,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.483034,78,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.484412,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.484414,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.484415,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.484417,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.484419,78,104.18.43.204,192.168.0.104,443,53152,TCP,56
1745488977.484574,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.486776,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.486779,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.48685,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.488958,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.488961,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.488963,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.489113,78,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.489314,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.489316,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.489392,78,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.490167,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.490251,76,192.168.0.104,74.125.4.9,54103,443,UDP,64
1745488977.494166,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.494169,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.494171,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.494173,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
1745488977.494175,1242,74.125.4.9,192.168.0.104,443,54103,UDP,58
